0,1,2
0.9495,0.932,0.989
0.9502499999999999,0.94,0.99025
0.951,0.948,0.99125
0.952,0.956,0.99225
0.9527499999999999,0.964,0.9935
0.9535,0.972,0.9945
0.95425,0.9790000000000001,0.99575
0.955,0.9870000000000001,0.9967499999999999
0.956,0.9950000000000001,0.9977500000000001
0.9567499999999999,0.991,0.999
0.9575,0.988,0.9870000000000001
0.9582499999999999,0.9804999999999999,0.974
0.959,0.973,0.974
0.96,0.973,0.974
0.9607499999999999,0.973,0.974
0.9615,0.973,0.974
0.96225,0.964,0.974
0.963,0.949,0.9707499999999999
0.964,0.949,0.948
0.9647499999999999,0.949,0.948
0.9655,0.949,0.948
0.9662499999999999,0.949,0.948
0.967,0.949,0.948
0.968,0.9514999999999999,0.952
