0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10
5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5162,5162,5162,5162,5162,5162,5162,5162,5162,5162,5162,5163,5163,5163,5163,5163,5163,5163,5163,5163,5163,5163,5164,5164,5164,5164,5164,5164,5164,5164,5164,5164,5164,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5169,5169,5169,5169,5169,5169,5169,5169,5169,5169,5169,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5171,5171,5171,5171,5171,5171,5171,5171,5171,5171,5171,5172,5172,5172,5172,5172,5172,5172,5172,5172,5172,5172,5173,5173,5173,5173,5173,5173,5173,5173,5173,5173,5173,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5176,5176,5176,5176,5176,5176,5176,5176,5176,5176,5176,5177,5177,5177,5177,5177,5177,5177,5177,5177,5177,5177,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183
0.95975,0.9897500000000001,0.992,0.728,0.887,0.9905,0.9737500000000001,0.9675,0.93,0.9432499999999999,0.9247500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9602499999999999,0.99125,0.993,0.736,0.911,0.99125,0.9745,0.9735,0.9325000000000001,0.952,0.92725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.961,0.99225,0.9937499999999999,0.744,0.9359999999999999,0.992,0.97525,0.9795,0.935,0.96,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9617499999999999,0.9935,0.9945,0.75275,0.96,0.993,0.976,0.9854999999999999,0.9372499999999999,0.968,0.93225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96225,0.9945,0.99525,0.7610000000000001,0.9849999999999999,0.9937499999999999,0.977,0.9915,0.9394999999999999,0.976,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.963,0.99575,0.996,0.7690000000000001,0.9764999999999999,0.9942500000000001,0.9777499999999999,0.9975,0.9420000000000001,0.9847499999999999,0.9372499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9634999999999999,0.9967499999999999,0.997,0.7772500000000001,0.937,0.995,0.9785,0.9390000000000001,0.9442499999999999,0.993,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964,0.99825,0.9977500000000001,0.786,0.937,0.996,0.97925,0.919,0.94675,0.994,0.94225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
