0,1,2
0.998,0.9255000000000001,0.939
0.998,0.9275,0.9409999999999998
0.998,0.9295000000000001,0.943
0.99875,0.9315,0.9449999999999998
0.999,0.934,0.947
0.999,0.9359999999999999,0.9489999999999998
0.999,0.938,0.951
0.999,0.94,0.9529999999999998
1.0,0.9420000000000001,0.95475
1.0,0.9442499999999999,0.9564999999999999
0.98875,0.9465,0.9585
0.9447499999999999,0.9484999999999999,0.9604999999999999
0.941,0.9505,0.9625
0.941,0.9524999999999999,0.9644999999999999
0.9424999999999999,0.95475,0.9665
0.98525,0.9569999999999999,0.9684999999999999
0.9745,0.959,0.9705
0.976,0.9609999999999999,0.9724999999999999
0.9777499999999999,0.963,0.9745
0.9794999999999999,0.9649999999999999,0.9764999999999999
0.9809999999999999,0.9672499999999999,0.9782500000000001
0.98275,0.9695,0.98
0.9844999999999999,0.9714999999999999,0.9820000000000001
0.986,0.9735,0.984
